geometry_id,part_name,shape_embedding,surface_volume_ratio,thickest_section,thinnest_wall
PART-011,Wheel_Hub_v1,"[0.8035745090568777, 0.2986223600254041, 0.7663777894733685, 0.6975163829108431, 0.921021544833735, 1.4723164817997108, 0.8442621801479682, 0.811679992834249, 0.07825267337621562, -0.02762266893674651, 0.17450982229387882, 0.13929569710880269, 0.21699683864745017, -0.2422341471176477, -0.611859229874335, 0.12997891393998007, 0.20796357296788334, 0.4392805878833668, 0.1453500797864526, -0.23651536886662683, 0.11385948694957237, -0.020542341940893483, 0.12539503790552056, -0.2252813452628154, 0.4085990850072687, 0.30578104676429974, -0.10197961267020472, -0.030787623373779577, -0.19209566307457024, 0.02029620826532583, 0.6802683994598433, -0.24672448405851044, -0.5301273741366266, 0.3785867788214989, -0.198572007437773, -0.020457280482928483, -0.223914837508987, 0.36541616354453405, -0.24348423768965088, -0.08015113996230197, -0.12888775438812414, -0.3320453138984913, -0.3556124480631948, 0.05705322479738616, -0.053426912106866536, 0.503690219698387, 0.05151577488219716, -0.11350634862161317, -0.07279092982604957, -0.14099244380657716]",600,20,7.0
PART-012,Wheel_Hub_v2,"[0.8750384211147599, 0.24929609859897775, 0.8314205925332155, 0.8310524673717968, 1.0800050478958978, 1.4861576385413422, 0.9229266986662809, 0.7657439585522561, 0.07567484028295338, -0.09970298138076611, 0.030109841846107696, 0.46378392456018824, -0.19526971552996045, 0.1400852520725175, 0.19635580318559911, 0.0978509934488172, -0.011253953781630136, 0.06860668410261117, -0.22182317726825654, -0.2592935816128306, 0.19879598512871458, 0.05526992227316836, 0.14218160052851453, 0.49802281075958055, -0.3452117441340385, -0.1869081658671274, 0.2441120389325494, 0.08323795045762537, -0.04737838439777728, 0.496099114989196, 0.2954050365177771, 0.06971386585901115, -0.7769663247928198, -0.06619881770939007, 0.3425018131684466, 0.35677881935685424, 0.09692744013296116, -0.23369451353513349, 0.3133562098099049, 0.2671606035559784, -0.08598588279796456, -0.31451425563910784, 0.1863964179578456, -0.6015832891591094, 0.13825268193088278, -0.09254231006418054, -0.37954249283413005, 0.4118562944135799, 0.022142874119410128, 0.08772207042170313]",620,22,7.5
PART-013,Engine_Bracket_v1,"[0.6515505976092968, 0.4905546736062389, 0.5183158189162126, 0.3186045023541221, 2.0, 0.6364839283926605, 1.0458793438540401, 0.44828644960185693, -0.02245673230012339, -0.060486704776796935, 0.5056524859466542, -0.042984772467434935, 0.6008446250760311, -0.00528946040756992, 0.07000278528254698, -0.4015518672363276, -0.3737455800123154, 0.462468481541181, -0.33321279944486604, -0.33922328620857817, -0.4289481033450609, -0.24244814832556252, 0.1398399002579738, 0.8012104607666243, 0.3333949753714814, 0.339829635147552, 0.19145614348885345, -0.17995121472555523, 0.3326512668428984, -0.27394567437695344, -0.21676345015767903, 0.10030773451085974, 0.25889174531394354, -0.012613037904896708, -0.38118166573849394, -0.10021590159629314, -0.2883017707608161, 0.13828575806068888, -0.26585801128715325, 0.038759385139248606, 0.35784046348724574, -0.3779697829408969, 0.06030152573787028, 0.22348510982852773, 0.1809681834945162, -0.31673665470428863, 0.07091307400235229, -0.4412849414833819, 0.5745827739976326, 0.21866862758835756]",400,40,5.0
PART-014,Engine_Bracket_v2,"[0.562894694445486, 0.5183474109851252, 0.5118256329233973, 0.2654858357041662, 2.0, 0.6962563918901209, 1.011849101182597, 0.5137619208841728, -0.039853175461812516, 0.10046792316601903, -0.2831379611616953, -0.07979665652580811, 0.3355390735980059, -0.4103045243986688, -0.8219683124427215, 0.3168425258090202, -0.47082198950409687, 0.3059955651321646, 0.5878614038106682, 0.13832357790171754, 0.26269884528796805, -0.034731240483469566, 0.0739503441824149, 0.210689104372753, -0.39204625872993165, -0.1529042138506589, 0.390973576882609, 0.20547520165370498, 0.042986683240783814, -0.06859471478161581, -0.012112444468377252, 0.19848078512761771, -0.476589013909372, -0.5410996824025891, -0.2554437644883033, 0.39888717893064635, 0.01794322448265251, 0.019349960245353053, -0.20662816625134117, 0.33279972133192354, 0.308295837792625, 0.09570735963935123, -0.2863330537054257, 0.2894382055678684, -0.5811225674979773, 0.24512882297321856, -0.30640664571882853, 0.10057856831241496, 0.05607185021489876, 0.13061627907013784]",420,42,5.5
PART-015,Suspension_Arm_v1,"[0.706014408690703, 0.4739747298927534, 0.5275367942553335, 0.34176298343961337, 1.8047213231912065, 0.8326768419259636, 1.0136057664066456, 0.6637012835243916, -0.05827371322302577, 0.024924527634272227, 0.24916774190786975, -0.1008266148610642, -0.11909124564204815, -0.05387367931425627, -0.3923251140218413, 0.17545909336892304, 0.13847910149651385, -0.4117096074281395, -0.23740182741183505, 0.044298205721572156, -0.6147225510326456, -0.24956371085037843, 0.1743640239976083, 0.42076639455826026, 0.29396825456701214, 0.4412304325793327, -0.20793557785391853, 0.22093489942434844, 0.305511876390715, -0.5117688609681725, -0.8271333808761517, 0.6043767353685721, -0.6158504713272929, 0.04884934258914138, 0.23130806505011953, -0.5637314442027057, -0.6520557153517104, 0.1869413559729436, 0.1749457412205193, -0.809470939763503, 0.2729169202867678, 0.15618750245355814, 0.11053940585254529, 0.7416302704602796, 0.18253486523573442, 0.4050685106872875, -0.3025836379306022, -0.35691067619375944, -0.2922989388748174, -0.23301449257785695]",450,35,6.0
PART-016,Suspension_Arm_v2,"[0.7010717927108275, 0.5258120137426037, 0.6724635864017648, 0.4746039900999158, 1.8810010604627334, 0.983656949042677, 1.011675512735951, 0.6099621029354081, -0.04815982448236082, 0.01836501413271448, 0.25012278539708743, 0.17981105257824617, 0.014343534525947626, -0.1555953274184815, 0.30942062167682044, -0.16443528562031598, -0.03622160204766492, 0.4565989751137055, 0.1530356350029883, -0.27936958595584266, -0.04150271339395911, -0.44491947377151464, 0.13264335740183877, -0.22029768540753925, -0.33028073086959064, 0.04692899479454841, -0.023800021252735972, -0.017407500730597797, 0.14310530534708021, -0.02905382751164249, 0.47461673415324823, 0.19427713736711452, -0.4333124735581388, -0.23391370625186902, -0.03285079361980002, 0.33282896171023973, -0.43717684866949275, -0.49208158507265454, -0.1779903281547888, 0.2300262280212172, -0.2963463368537473, -0.25160801662152765, -0.09616783243985862, 0.3142252735957902, 0.12594034422725875, -0.2129375436268061, 0.2192748286014084, 0.30844052295527813, -0.025930318449260435, 0.0746938008865978]",470,38,6.5
PART-017,Steering_Knuckle_v1,"[0.6167449990498851, 0.6950270274958922, 0.5786459505448511, 0.2692751491050548, 2.0, 0.6248454209534448, 0.9351816719677093, 0.32192448213396535, -0.09394328575341847, 0.04405791015367469, 0.6133184759574349, 0.09494050187182722, 0.2637910395195095, 0.42207308782168457, -0.10209329497852732, -0.4387373116659922, -0.05635083649537052, 0.4130824768982205, -0.4037147466973447, -0.0007857696200688468, 0.3717690561161176, -0.28311301383000054, -0.09641968272155972, -0.10457867518591114, 0.29086907500644305, 0.23036760946369955, 0.08668929238471355, -0.4036924984777258, -0.3149660791171728, -0.12907933464945778, -0.20526618511889588, 0.4219424589275535, 0.23527887478399026, 0.07174753896586092, 0.17162213687796726, -0.0455144624831137, -0.20440472038173813, 0.045039633469700184, -0.5587879425949344, 0.49329781303886133, 0.06993202770071141, -0.16236520552672887, 0.165958949286175, -0.03537012410296141, 0.3067767370694624, -0.13470374731304793, 0.018469642594599153, 0.32264306268460247, 0.05877737480816578, -0.6893671713752522]",380,50,5.0
PART-018,Steering_Knuckle_v2,"[0.6944204890302839, 0.8490128343093958, 0.5987003433834913, 0.2914750271334179, 2.0, 0.7943752911548873, 0.9397884361143497, 0.2533039155164875, 1.0569486294456656, -0.0302323982703284, -0.4122903054317354, 0.20513133644670029, -0.17734316137922576, 0.10970091333109998, -0.19546746952909613, 0.36474787644424056, 0.1995773460537059, 0.33338725084695, 0.04334546048820609, -0.29564415077129397, -0.24796509716407772, -0.05613762106914246, 0.055776492167739965, 0.13209672434589093, 0.08326448161041117, 0.1153365636129024, 0.15214852290531397, -0.06239645442284968, 0.050687736273966784, 0.24466903819058006, 0.03941230354474284, 0.09149336773673879, 0.3607996597536539, 0.1951335539356536, -0.2018823950352697, 0.36576552806806756, -0.5471569215280602, 0.29297746757139553, 0.17571655732049338, 0.1691835513399449, 0.02278738716068154, -0.5321102293419155, 0.32080938495154515, 0.2650165304790788, -0.12221158348126855, -0.38278176005397474, 0.16160783498502027, -0.24234741929686146, -0.2505994279282593, -0.25585019338253023]",400,52,5.5
PART-019,Turbo_Housing_v1,"[0.8701592279246171, 0.18255798893191483, 0.3969477238431766, 0.8440063193789941, 0.7919781979700722, 0.8925224810939342, 0.7585092587171249, 1.0148411813160299, -0.03579136163109343, 1.0172491382002018, 0.12062888157629556, -0.5945972732297518, 0.207163011293769, -0.15037272549538366, -0.5117677165962035, 0.29974272630569737, 0.6274763625399539, 0.13276128601354828, 0.41642265355310315, 0.034625550265979306, -0.11262677846453412, -0.11585940113124855, 0.11340065576517644, -0.09294368280539608, -0.37177872260018413, -0.04942948626682787, -0.16347234986248127, 0.17646239055205362, -0.26740320003539586, -0.3831759675552647, 0.06804458160119925, 0.2309030055759233, -0.0009589356276634076, -0.5721554244029884, 0.18201555700090302, -0.3924886191719984, 0.3413202166613521, 0.34660683290809513, -0.3870042531719445, 0.2957629014062848, 0.12767925364481703, 0.25259049098961617, 0.09836819176647256, 0.5284765148447658, -0.6453873971059575, 0.07368293180675045, 0.07924353028748916, 0.33207929786736357, 0.4288971152793085, 0.21597030600981768]",650,15,4.0
PART-020,Turbo_Housing_v2,"[1.0306518826558915, 0.20397107144031745, 0.3970188626017482, 0.912108551492142, 0.9225892830107361, 1.003640917132345, 0.7075100169626205, 0.876786063431767, 0.019680619437714823, 1.0212858824849447, 0.1579962391084249, 0.6637002335738663, 0.059387686583866325, 0.42564931251259225, 0.2615383090883794, -0.3066941316896759, -0.0756187212808441, -0.4636233624108313, 0.1464027259440127, 0.06600741658615807, 0.23677749533924833, -0.4619594351017971, -0.17692224364469125, -0.415397217289119, 0.31171452740503436, -0.4627392051742758, 0.2527274810044558, -0.3587698265154745, 0.8310636541407768, 0.4146185063832653, 0.43367285833364794, -0.13019866033914645, 0.3014402650838201, 0.19912854228914487, 0.2791325645825609, -0.060949198593287734, 0.2851781337520487, -0.3555648810617971, 0.038629056754806115, 0.5499311120748148, -0.03971972194582474, -0.09872638420740124, 0.17374932056834388, 0.26573430759872946, 0.29940766298301275, -0.0654188081402394, 0.13026151154529245, -0.03713742311066756, -0.2774798236124923, -0.19496234071968901]",680,18,4.5
