batch_id,part_name,alloy_grade,mold_id,shift,cycle_number,production_order,furnace_id,molding_machine_id,pouring_station_id,period,target_temperature,target_pour_time,mold_made_at,pour_time,inspection_time,production_date
BATCH-20260301-0040,Turbo_Housing_v1,C45,MOLD-0040,C,1751,PO-20260301-0040,FURNACE_2,MOLDING_LINE_2,LADLE_2,normal,1446.5295879582884,2026-03-01 18:28:49,2026-03-01 04:03:49,2026-03-01 18:28:49,2026-03-02 08:28:49,2026-03-01
BATCH-20260301-0041,Transmission_Housing_v2,C25,MOLD-0041,C,7799,PO-20260301-0041,FURNACE_3,MOLDING_LINE_3,LADLE_2,normal,1425.6032320045338,2026-03-02 02:30:40,2026-03-01 05:36:40,2026-03-02 02:30:40,2026-03-02 05:30:40,2026-03-01
BATCH-20260301-0042,Cylinder_Block_v1,FG250,MOLD-0042,A,7260,PO-20260301-0042,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1411.8791317866062,2026-03-01 15:28:04,2026-03-01 01:33:04,2026-03-01 15:28:04,2026-03-01 19:28:04,2026-03-01
BATCH-20260301-0043,Suspension_Arm_v2,A380,MOLD-0043,A,7049,PO-20260301-0043,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1394.6329913105683,2026-03-02 06:54:44,2026-03-01 06:55:44,2026-03-02 06:54:44,2026-03-02 14:54:44,2026-03-01
BATCH-20260301-0044,Steering_Knuckle_v1,6061,MOLD-0044,A,6566,PO-20260301-0044,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1372.8230912735087,2026-03-01 10:44:50,2026-02-28 16:52:50,2026-03-01 10:44:50,2026-03-02 00:44:50,2026-03-01
BATCH-20260301-0045,Steering_Knuckle_v1,A380,MOLD-0045,C,6159,PO-20260301-0045,FURNACE_2,MOLDING_LINE_1,LADLE_2,normal,1372.5034878623453,2026-03-02 00:21:01,2026-03-01 02:55:01,2026-03-02 00:21:01,2026-03-02 11:21:01,2026-03-01
BATCH-20260301-0046,Exhaust_Manifold_v1,ADI_2,MOLD-0046,B,2752,PO-20260301-0046,FURNACE_1,MOLDING_LINE_3,LADLE_2,normal,1434.0696146808782,2026-03-01 16:36:06,2026-02-28 15:00:06,2026-03-01 16:36:06,2026-03-02 01:36:06,2026-03-01
BATCH-20260301-0047,Exhaust_Manifold_v1,A380,MOLD-0047,C,3340,PO-20260301-0047,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1353.211442535694,2026-03-01 18:25:24,2026-02-28 20:38:24,2026-03-01 18:25:24,2026-03-01 22:25:24,2026-03-01
BATCH-20260301-0048,Intake_Manifold_v2,A380,MOLD-0048,B,6272,PO-20260301-0048,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1392.8366016151967,2026-03-01 19:25:49,2026-02-28 21:02:49,2026-03-01 19:25:49,2026-03-01 21:25:49,2026-03-01
BATCH-20260301-0049,Transmission_Housing_v2,A380,MOLD-0049,B,2236,PO-20260301-0049,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1374.4114738775124,2026-03-02 03:27:36,2026-03-01 10:57:36,2026-03-02 03:27:36,2026-03-02 10:27:36,2026-03-01
BATCH-20260301-0050,Engine_Bracket_v1,FG300,MOLD-0050,B,4849,PO-20260301-0050,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1443.4850203810738,2026-03-01 23:11:05,2026-03-01 02:52:05,2026-03-01 23:11:05,2026-03-02 06:11:05,2026-03-01
BATCH-20260301-0051,Brake_Drum_v2,6061,MOLD-0051,A,3725,PO-20260301-0051,FURNACE_1,MOLDING_LINE_2,LADLE_2,normal,1366.3676333470867,2026-03-02 04:24:55,2026-03-01 22:32:55,2026-03-02 04:24:55,2026-03-02 12:24:55,2026-03-01
BATCH-20260301-0052,Engine_Bracket_v2,ADI_2,MOLD-0052,A,2867,PO-20260301-0052,FURNACE_2,MOLDING_LINE_1,LADLE_1,normal,1479.9944697105525,2026-03-01 18:59:00,2026-03-01 03:54:00,2026-03-01 18:59:00,2026-03-02 08:59:00,2026-03-01
BATCH-20260301-0053,Cylinder_Block_v1,ADI_1,MOLD-0053,A,3880,PO-20260301-0053,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1434.3126965133345,2026-03-01 16:02:49,2026-02-28 14:09:49,2026-03-01 16:02:49,2026-03-01 18:02:49,2026-03-01
BATCH-20260301-0054,Transmission_Housing_v1,A356,MOLD-0054,A,1342,PO-20260301-0054,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1388.8895943087716,2026-03-01 11:38:53,2026-02-28 12:09:53,2026-03-01 11:38:53,2026-03-02 00:38:53,2026-03-01
BATCH-20260301-0055,Engine_Bracket_v1,A380,MOLD-0055,C,6329,PO-20260301-0055,FURNACE_1,MOLDING_LINE_1,LADLE_1,normal,1355.0950652722988,2026-03-01 18:28:28,2026-03-01 10:19:28,2026-03-01 18:28:28,2026-03-02 05:28:28,2026-03-01
BATCH-20260301-0056,Cylinder_Block_v2,A356,MOLD-0056,C,5305,PO-20260301-0056,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1353.447836825982,2026-03-01 18:40:49,2026-02-28 17:58:49,2026-03-01 18:40:49,2026-03-02 08:40:49,2026-03-01
BATCH-20260301-0057,Engine_Bracket_v2,A356,MOLD-0057,C,6012,PO-20260301-0057,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1371.774357250384,2026-03-01 19:57:25,2026-03-01 14:25:25,2026-03-01 19:57:25,2026-03-01 22:57:25,2026-03-01
BATCH-20260301-0058,Steering_Knuckle_v2,6061,MOLD-0058,B,2012,PO-20260301-0058,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1366.115229149056,2026-03-02 02:47:46,2026-03-01 00:59:46,2026-03-02 02:47:46,2026-03-02 16:47:46,2026-03-01
BATCH-20260301-0059,Suspension_Arm_v1,C45,MOLD-0059,C,6972,PO-20260301-0059,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1421.7219998662054,2026-03-01 10:10:19,2026-02-28 21:09:19,2026-03-01 10:10:19,2026-03-02 00:10:19,2026-03-01
BATCH-20260301-0060,Transmission_Housing_v1,A356,MOLD-0060,B,4233,PO-20260301-0060,FURNACE_3,MOLDING_LINE_3,LADLE_2,normal,1377.7895513959793,2026-03-01 18:47:00,2026-03-01 08:50:00,2026-03-01 18:47:00,2026-03-02 01:47:00,2026-03-01
BATCH-20260301-0061,Steering_Knuckle_v2,ADI_1,MOLD-0061,C,142,PO-20260301-0061,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1446.8904729751941,2026-03-01 14:19:22,2026-03-01 06:57:22,2026-03-01 14:19:22,2026-03-01 23:19:22,2026-03-01
BATCH-20260301-0062,Exhaust_Manifold_v1,ADI_2,MOLD-0062,C,2817,PO-20260301-0062,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1453.208377300615,2026-03-01 10:44:16,2026-02-28 20:23:16,2026-03-01 10:44:16,2026-03-01 23:44:16,2026-03-01
BATCH-20260301-0063,Suspension_Arm_v1,ADI_2,MOLD-0063,B,2585,PO-20260301-0063,FURNACE_2,MOLDING_LINE_1,LADLE_1,normal,1463.2770598795641,2026-03-01 22:44:31,2026-03-01 00:29:31,2026-03-01 22:44:31,2026-03-02 11:44:31,2026-03-01
BATCH-20260301-0064,Suspension_Arm_v2,ADI_2,MOLD-0064,C,6821,PO-20260301-0064,FURNACE_3,MOLDING_LINE_3,LADLE_2,normal,1478.8306378277507,2026-03-01 11:15:10,2026-02-28 13:21:10,2026-03-01 11:15:10,2026-03-01 16:15:10,2026-03-01
BATCH-20260301-0065,Transmission_Housing_v2,FG250,MOLD-0065,C,447,PO-20260301-0065,FURNACE_3,MOLDING_LINE_1,LADLE_2,normal,1383.1860990688253,2026-03-01 14:20:03,2026-03-01 00:04:03,2026-03-01 14:20:03,2026-03-01 18:20:03,2026-03-01
BATCH-20260301-0066,Suspension_Arm_v2,FG260,MOLD-0066,A,2792,PO-20260301-0066,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1413.509994602448,2026-03-02 03:59:49,2026-03-01 13:08:49,2026-03-02 03:59:49,2026-03-02 18:59:49,2026-03-01
BATCH-20260301-0067,Cylinder_Block_v3,A380,MOLD-0067,B,6645,PO-20260301-0067,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1357.5863503475478,2026-03-01 14:13:44,2026-03-01 07:42:44,2026-03-01 14:13:44,2026-03-01 17:13:44,2026-03-01
BATCH-20260301-0068,Steering_Knuckle_v2,A380,MOLD-0068,C,3117,PO-20260301-0068,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1388.784676984911,2026-03-02 03:30:32,2026-03-01 13:29:32,2026-03-02 03:30:32,2026-03-02 06:30:32,2026-03-01
BATCH-20260301-0069,Transmission_Housing_v2,C45,MOLD-0069,C,1703,PO-20260301-0069,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1476.8554120195226,2026-03-02 00:09:09,2026-03-01 04:24:09,2026-03-02 00:09:09,2026-03-02 08:09:09,2026-03-01
BATCH-20260301-0070,Intake_Manifold_v1,ADI_1,MOLD-0070,A,3691,PO-20260301-0070,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1420.160543356173,2026-03-02 06:40:27,2026-03-01 18:46:27,2026-03-02 06:40:27,2026-03-02 09:40:27,2026-03-01
BATCH-20260301-0071,Transmission_Housing_v2,ADI_2,MOLD-0071,C,6454,PO-20260301-0071,FURNACE_2,MOLDING_LINE_1,LADLE_1,normal,1475.434662668953,2026-03-02 04:11:12,2026-03-01 08:37:12,2026-03-02 04:11:12,2026-03-02 09:11:12,2026-03-01
BATCH-20260301-0072,Steering_Knuckle_v2,ADI_1,MOLD-0072,C,1360,PO-20260301-0072,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1424.2845902113488,2026-03-02 06:09:27,2026-03-01 06:45:27,2026-03-02 06:09:27,2026-03-02 09:09:27,2026-03-01
BATCH-20260301-0073,Suspension_Arm_v1,ADI_2,MOLD-0073,C,4900,PO-20260301-0073,FURNACE_2,MOLDING_LINE_2,LADLE_2,normal,1446.2655318142959,2026-03-01 18:37:59,2026-02-28 18:11:59,2026-03-01 18:37:59,2026-03-01 21:37:59,2026-03-01
BATCH-20260301-0074,Cylinder_Block_v1,FG260,MOLD-0074,A,5508,PO-20260301-0074,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1449.9700691814216,2026-03-01 09:14:04,2026-02-28 14:27:04,2026-03-01 09:14:04,2026-03-01 15:14:04,2026-03-01
BATCH-20260301-0075,Steering_Knuckle_v1,6061,MOLD-0075,B,4029,PO-20260301-0075,FURNACE_1,MOLDING_LINE_3,LADLE_2,normal,1381.7392359727044,2026-03-01 16:40:45,2026-02-28 17:48:45,2026-03-01 16:40:45,2026-03-02 01:40:45,2026-03-01
BATCH-20260301-0076,Wheel_Hub_v1,FG260,MOLD-0076,A,7744,PO-20260301-0076,FURNACE_2,MOLDING_LINE_2,LADLE_2,normal,1400.175245675302,2026-03-01 10:41:19,2026-02-28 14:19:19,2026-03-01 10:41:19,2026-03-01 17:41:19,2026-03-01
BATCH-20260301-0077,Wheel_Hub_v1,ADI_2,MOLD-0077,B,4445,PO-20260301-0077,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1459.4596231889877,2026-03-01 22:02:48,2026-02-28 23:34:48,2026-03-01 22:02:48,2026-03-02 01:02:48,2026-03-01
BATCH-20260301-0078,Wheel_Hub_v2,C45,MOLD-0078,B,4500,PO-20260301-0078,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1432.2134943010165,2026-03-01 23:43:12,2026-03-01 05:49:12,2026-03-01 23:43:12,2026-03-02 09:43:12,2026-03-01
BATCH-20260301-0079,Brake_Drum_v1,FG250,MOLD-0079,C,113,PO-20260301-0079,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1401.7525096875333,2026-03-01 12:45:12,2026-02-28 21:46:12,2026-03-01 12:45:12,2026-03-01 21:45:12,2026-03-01
BATCH-20260301-0080,Brake_Drum_v1,6061,MOLD-0080,A,2391,PO-20260301-0080,FURNACE_3,MOLDING_LINE_1,LADLE_2,normal,1396.6326529967052,2026-03-02 03:04:24,2026-03-01 09:06:24,2026-03-02 03:04:24,2026-03-02 18:04:24,2026-03-01
BATCH-20260301-0081,Exhaust_Manifold_v1,6061,MOLD-0081,C,4164,PO-20260301-0081,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1396.093407496578,2026-03-02 02:02:38,2026-03-01 12:31:38,2026-03-02 02:02:38,2026-03-02 11:02:38,2026-03-01
BATCH-20260301-0082,Steering_Knuckle_v1,ADI_2,MOLD-0082,A,4751,PO-20260301-0082,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1470.2485553563852,2026-03-01 12:21:12,2026-03-01 04:58:12,2026-03-01 12:21:12,2026-03-01 19:21:12,2026-03-01
BATCH-20260301-0083,Wheel_Hub_v2,A356,MOLD-0083,C,7124,PO-20260301-0083,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1396.642612785763,2026-03-02 01:27:38,2026-03-01 15:49:38,2026-03-02 01:27:38,2026-03-02 10:27:38,2026-03-01
BATCH-20260301-0084,Engine_Bracket_v2,FG250,MOLD-0084,B,5437,PO-20260301-0084,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1407.0255126743687,2026-03-01 13:51:07,2026-03-01 01:52:07,2026-03-01 13:51:07,2026-03-02 04:51:07,2026-03-01
BATCH-20260301-0085,Turbo_Housing_v1,A356,MOLD-0085,A,1181,PO-20260301-0085,FURNACE_2,MOLDING_LINE_1,LADLE_2,normal,1350.767379895763,2026-03-01 12:18:16,2026-02-28 16:32:16,2026-03-01 12:18:16,2026-03-01 22:18:16,2026-03-01
BATCH-20260301-0086,Transmission_Housing_v1,A356,MOLD-0086,C,6983,PO-20260301-0086,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1392.5882646175346,2026-03-01 21:34:36,2026-02-28 20:55:36,2026-03-01 21:34:36,2026-03-02 06:34:36,2026-03-01
BATCH-20260301-0087,Suspension_Arm_v2,C25,MOLD-0087,A,7545,PO-20260301-0087,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1457.8696610112784,2026-03-02 03:15:42,2026-03-01 09:25:42,2026-03-02 03:15:42,2026-03-02 16:15:42,2026-03-01
BATCH-20260301-0088,Brake_Drum_v1,6061,MOLD-0088,A,6523,PO-20260301-0088,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1352.2995484338605,2026-03-01 17:52:47,2026-03-01 05:27:47,2026-03-01 17:52:47,2026-03-01 20:52:47,2026-03-01
BATCH-20260301-0089,Brake_Drum_v2,ADI_1,MOLD-0089,C,647,PO-20260301-0089,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1430.1990189440858,2026-03-01 09:19:35,2026-02-28 19:02:35,2026-03-01 09:19:35,2026-03-01 17:19:35,2026-03-01
BATCH-20260301-0090,Brake_Drum_v2,ADI_1,MOLD-0090,B,77,PO-20260301-0090,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1435.3196024895492,2026-03-02 05:44:27,2026-03-01 12:11:27,2026-03-02 05:44:27,2026-03-02 16:44:27,2026-03-01
BATCH-20260301-0091,Wheel_Hub_v2,C45,MOLD-0091,B,2475,PO-20260301-0091,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1447.4101487600672,2026-03-01 23:35:21,2026-03-01 09:56:21,2026-03-01 23:35:21,2026-03-02 08:35:21,2026-03-01
BATCH-20260301-0092,Engine_Bracket_v1,C45,MOLD-0092,B,6800,PO-20260301-0092,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1421.3163758715739,2026-03-01 13:58:11,2026-02-28 21:15:11,2026-03-01 13:58:11,2026-03-01 18:58:11,2026-03-01
